name,User_Rating,Reviews,Genre_Type
The Book Thief,4.6,23148,Historical
A Dance with Dragons (A Song of Ice and Fire),4.4,12643,Fantasy
Fifty Shades Darker,4.4,23631,Romance
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),4.4,25624,Romance
The Girl with the Dragon Tattoo (Millennium Series),4.4,10559,Thriller
The Great Gatsby,4.4,11616,Historical
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",4.9,19622,Fantasy
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",4.9,10052,Fantasy
"Brown Bear, Brown Bear, What Do You See?",4.9,14344,Childrens
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)",4.9,11881,Childrens
"Oh, the Places You'll Go!",4.9,21834,Childrens
The Very Hungry Caterpillar,4.9,19546,Childrens
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,12619,Graphic Novel
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,4.7,19735,Fantasy
The Alchemist,4.7,35799,Fantasy
"Twilight (The Twilight Saga, Book 1)",4.7,11676,Fantasy
The Art of Racing in the Rain: A Novel,4.7,11813,Fiction
The Fault in Our Stars,4.7,50482,Romance
Doctor Sleep: A Novel,4.7,15845,Thriller
1984 (Signet Classics),4.7,21424,Dystopian
Catching Fire (The Hunger Games),4.7,22614,Dystopian
The Hunger Games,4.7,32122,Dystopian
The Hunger Games (Book 1),4.7,32122,Dystopian
A Gentleman in Moscow: A Novel,4.7,19699,Historical
The Martian,4.7,39459,Science Fiction
